<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.01	00:05:00	1.08177	1.08177	1.08160	1.08161	10	0	7
2024.02.01	00:06:00	1.08160	1.08161	1.08160	1.08161	2	0	17
2024.02.01	00:07:00	1.08161	1.08161	1.08160	1.08160	2	0	17
2024.02.01	00:08:00	1.08160	1.08160	1.08159	1.08160	7	0	19
2024.02.01	00:09:00	1.08159	1.08159	1.08159	1.08159	1	0	19
2024.02.01	00:10:00	1.08160	1.08160	1.08160	1.08160	1	0	19
2024.02.01	00:11:00	1.08160	1.08161	1.08160	1.08161	2	0	19
2024.02.01	00:12:00	1.08162	1.08174	1.08162	1.08174	9	0	16
2024.02.01	00:13:00	1.08176	1.08180	1.08176	1.08180	4	0	15
2024.02.01	00:14:00	1.08181	1.08181	1.08181	1.08181	1	0	16
2024.02.01	00:15:00	1.08182	1.08189	1.08182	1.08189	7	0	9
2024.02.01	00:16:00	1.08188	1.08188	1.08188	1.08188	1	0	10
2024.02.01	00:19:00	1.08189	1.08189	1.08189	1.08189	1	0	9
2024.02.01	00:20:00	1.08188	1.08188	1.08186	1.08186	3	0	10
2024.02.01	00:21:00	1.08185	1.08185	1.08185	1.08185	1	0	12
2024.02.01	00:22:00	1.08185	1.08185	1.08184	1.08184	2	0	12
2024.02.01	00:23:00	1.08184	1.08184	1.08184	1.08184	1	0	12
2024.02.01	00:24:00	1.08184	1.08186	1.08183	1.08186	5	0	12
2024.02.01	00:25:00	1.08187	1.08189	1.08187	1.08189	3	0	10
2024.02.01	00:26:00	1.08189	1.08189	1.08186	1.08186	3	0	12
2024.02.01	00:28:00	1.08185	1.08189	1.08182	1.08189	9	0	12
2024.02.01	00:29:00	1.08189	1.08190	1.08189	1.08190	2	0	12
2024.02.01	00:30:00	1.08190	1.08192	1.08190	1.08192	5	0	10
2024.02.01	00:31:00	1.08192	1.08199	1.08191	1.08199	9	0	9
2024.02.01	00:32:00	1.08200	1.08201	1.08175	1.08187	23	0	8
2024.02.01	00:34:00	1.08187	1.08188	1.08187	1.08188	2	0	13
2024.02.01	00:35:00	1.08188	1.08189	1.08187	1.08187	4	0	13
2024.02.01	00:36:00	1.08187	1.08187	1.08186	1.08186	2	0	16
2024.02.01	00:37:00	1.08186	1.08187	1.08186	1.08187	6	0	16
2024.02.01	00:38:00	1.08187	1.08188	1.08186	1.08188	4	0	13
2024.02.01	00:39:00	1.08188	1.08188	1.08187	1.08187	2	0	13
2024.02.01	00:40:00	1.08187	1.08187	1.08184	1.08184	4	0	15
2024.02.01	00:41:00	1.08184	1.08185	1.08184	1.08185	2	0	16
2024.02.01	00:42:00	1.08185	1.08185	1.08176	1.08176	9	0	16
2024.02.01	00:43:00	1.08176	1.08176	1.08166	1.08166	8	0	15
2024.02.01	00:44:00	1.08166	1.08166	1.08160	1.08160	7	0	15
2024.02.01	00:45:00	1.08158	1.08158	1.08152	1.08152	10	0	16
2024.02.01	00:46:00	1.08152	1.08154	1.08151	1.08151	10	0	14
2024.02.01	00:47:00	1.08151	1.08151	1.08149	1.08149	3	0	17
2024.02.01	00:48:00	1.08149	1.08155	1.08088	1.08121	35	0	17
2024.02.01	00:49:00	1.08124	1.08133	1.08121	1.08126	26	0	11
2024.02.01	00:50:00	1.08126	1.08133	1.08126	1.08131	10	0	8
2024.02.01	00:51:00	1.08133	1.08142	1.08132	1.08141	9	0	10
2024.02.01	00:52:00	1.08139	1.08139	1.08131	1.08131	14	0	15
2024.02.01	00:54:00	1.08131	1.08131	1.08131	1.08131	1	0	17
2024.02.01	00:55:00	1.08131	1.08131	1.08130	1.08130	2	0	17
2024.02.01	00:56:00	1.08130	1.08130	1.08130	1.08130	1	0	17
2024.02.01	00:57:00	1.08131	1.08132	1.08131	1.08132	2	0	15
2024.02.01	00:58:00	1.08132	1.08132	1.08132	1.08132	1	0	15
2024.02.01	00:59:00	1.08132	1.08132	1.08132	1.08132	1	0	15
2024.02.01	01:00:00	1.08132	1.08161	1.08121	1.08158	57	0	1
2024.02.01	01:01:00	1.08159	1.08159	1.08153	1.08155	11	0	0
2024.02.01	01:02:00	1.08154	1.08154	1.08142	1.08142	10	0	0
2024.02.01	01:03:00	1.08142	1.08142	1.08141	1.08141	2	0	1
2024.02.01	01:04:00	1.08141	1.08141	1.08139	1.08139	3	0	1
2024.02.01	01:05:00	1.08138	1.08139	1.08137	1.08139	4	0	1
2024.02.01	01:06:00	1.08139	1.08153	1.08139	1.08150	12	0	1
2024.02.01	01:07:00	1.08149	1.08149	1.08149	1.08149	1	0	1
2024.02.01	01:08:00	1.08148	1.08152	1.08146	1.08152	9	0	0
2024.02.01	01:09:00	1.08152	1.08154	1.08152	1.08152	5	0	0
